Revised_Energy_Efficiency_Rating,Lower_Super_Output_Area
E,E01000989
D,E01000990
E,E01000991
D,E01000992
D,E01000993
D,E01000994
D,E01000995
D,E01000996
D,E01000997
D,E01000998
D,E01000999
D,E01001000
D,E01001001
D,E01001002
D,E01001003
D,E01001004
D,E01001005
C,E01001006
D,E01001007
D,E01001008
D,E01001009
D,E01001010
D,E01001011
D,E01001012
D,E01001013
D,E01001014
D,E01001015
D,E01001016
D,E01001017
D,E01001018
D,E01001019
D,E01001020
D,E01001021
D,E01001022
D,E01001023
D,E01001024
D,E01001025
D,E01001026
D,E01001027
D,E01001028
E,E01001029
E,E01001030
D,E01001031
E,E01001032
D,E01001033
D,E01001034
D,E01001035
E,E01001036
D,E01001037
D,E01001038
D,E01001039
D,E01001040
D,E01001041
D,E01001042
D,E01001043
D,E01001044
B,E01001045
D,E01001046
D,E01001047
C,E01001048
E,E01001049
C,E01001050
D,E01001051
D,E01001052
D,E01001053
D,E01001054
D,E01001055
D,E01001056
D,E01001057
D,E01001058
D,E01001059
D,E01001060
D,E01001061
E,E01001062
E,E01001063
D,E01001064
D,E01001065
D,E01001066
E,E01001067
E,E01001068
D,E01001069
D,E01001070
E,E01001071
D,E01001072
E,E01001073
D,E01001074
D,E01001075
D,E01001076
D,E01001077
D,E01001078
D,E01001079
D,E01001080
D,E01001081
D,E01001082
D,E01001083
E,E01001084
D,E01001085
D,E01001086
C,E01001087
D,E01001088
D,E01001089
D,E01001090
E,E01001091
E,E01001092
D,E01001093
E,E01001094
D,E01001095
E,E01001096
C,E01001097
E,E01001098
D,E01001099
E,E01001100
D,E01001101
D,E01001102
D,E01001103
D,E01001104
D,E01001105
D,E01001106
D,E01001107
E,E01001108
D,E01001109
D,E01001110
D,E01001111
D,E01001112
D,E01001113
D,E01001114
D,E01001115
D,E01001116
B,E01001117
D,E01001118
D,E01001119
D,E01001120
D,E01001121
D,E01001122
D,E01001123
D,E01001124
D,E01001125
D,E01001126
E,E01001127
D,E01001128
E,E01001129
D,E01001130
D,E01001131
E,E01001132
D,E01001133
D,E01001134
E,E01001135
D,E01001136
D,E01001137
D,E01001138
D,E01001139
D,E01001140
D,E01001141
D,E01001142
D,E01001143
D,E01001144
D,E01001145
D,E01001146
D,E01001147
D,E01001148
D,E01001149
D,E01001150
D,E01001151
D,E01001152
D,E01001153
D,E01001154
D,E01001155
D,E01001156
D,E01001157
D,E01001158
D,E01001159
D,E01001160
D,E01001161
D,E01001162
D,E01001163
D,E01001164
D,E01001165
D,E01001166
D,E01001167
D,E01001168
D,E01001169
D,E01001170
D,E01001171
D,E01001172
D,E01001173
D,E01001174
D,E01001175
D,E01001176
D,E01001177
D,E01001178
D,E01001179
D,E01001180
D,E01001181
D,E01001182
D,E01001183
D,E01001184
D,E01001185
D,E01001186
D,E01001187
D,E01001188
D,E01001189
D,E01001190
D,E01001191
D,E01001192
C,E01001193
D,E01001194
D,E01001195
D,E01001196
D,E01001197
D,E01001198
D,E01001199
D,E01001200
D,E01001201
D,E01001202
D,E01001203
D,E01001204
D,E01001205
D,E01001206
D,E01001207
D,E01001208
D,E01001209
C,E01001210
D,E01001211
D,E01001212
D,E01001213
D,E01001214
D,E01001215
D,E01001216
D,E01001217
D,E01001218
D,E01001219
C,E01001220
D,E01001221
D,E01001222
D,E01001223
E,E01001224
D,E01001225
D,E01001226
D,E01001227
D,E01001228
D,E01001229
D,E01001230
E,E01001231
C,E01001232
D,E01001233
D,E01001234
D,E01001235
D,E01001236
D,E01001237
B,E01001238
C,E01001239
D,E01001240
D,E01001241
D,E01001242
C,E01001243
C,E01001244
D,E01001245
D,E01001246
D,E01001247
D,E01001248
C,E01001249
D,E01001250
D,E01001251
D,E01001252
D,E01001253
D,E01001254
D,E01001255
C,E01001257
D,E01001258
D,E01001259
D,E01001260
D,E01001261
D,E01001262
D,E01001263
D,E01001264
D,E01001265
D,E01001266
D,E01001267
D,E01001268
D,E01001269
D,E01001270
D,E01001271
D,E01001272
D,E01001273
D,E01001274
D,E01001275
D,E01001276
D,E01001277
D,E01001278
D,E01001279
D,E01001280
E,E01001281
D,E01001282
D,E01001283
D,E01001284
D,E01001285
D,E01001286
D,E01001287
D,E01001288
D,E01001289
D,E01001290
D,E01001291
D,E01001292
D,E01001293
D,E01001294
D,E01001295
D,E01001296
D,E01001297
D,E01001298
D,E01001299
D,E01001300
D,E01001301
D,E01001302
D,E01001303
D,E01001304
D,E01001305
D,E01001306
D,E01001307
D,E01001308
D,E01001309
D,E01001310
D,E01001311
D,E01001312
D,E01001313
D,E01001314
D,E01001315
C,E01001316
D,E01001317
C,E01001318
D,E01001319
C,E01001320
D,E01001321
D,E01001322
D,E01001323
D,E01001324
D,E01001325
D,E01001326
D,E01001327
C,E01001328
D,E01001329
D,E01001330
D,E01001331
C,E01001332
D,E01001333
D,E01001334
D,E01001335
D,E01001336
D,E01001337
D,E01001338
C,E01001339
C,E01001340
D,E01001341
D,E01001342
D,E01001343
D,E01001344
D,E01001345
D,E01001346
D,E01001347
D,E01001348
D,E01001349
D,E01001350
D,E01001351
D,E01001352
D,E01001353
D,E01001354
D,E01001355
C,E01001356
B,E01001357
C,E01001358
D,E01001359
D,E01001360
D,E01001361
D,E01001362
D,E01001363
D,E01001364
D,E01001365
D,E01001366
D,E01001367
D,E01001368
D,E01001369
D,E01001370
D,E01001371
D,E01001372
D,E01001373
D,E01001374
D,E01001375
D,E01001376
E,E01001377
D,E01001379
D,E01001380
D,E01001381
D,E01001382
D,E01001383
D,E01001384
D,E01001385
D,E01001386
D,E01001387
D,E01001388
D,E01001389
D,E01001390
D,E01001391
D,E01001392
D,E01001393
D,E01001394
D,E01001395
D,E01001396
D,E01001397
E,E01001398
E,E01001399
E,E01001400
D,E01001401
D,E01001402
D,E01001403
D,E01001404
D,E01001405
D,E01001406
D,E01001407
D,E01001408
D,E01001409
D,E01001410
D,E01001411
D,E01001412
E,E01001413
D,E01001414
D,E01001415
E,E01001416
D,E01001417
D,E01001418
D,E01001419
D,E01001420
D,E01001421
D,E01001422
D,E01001423
C,E01001424
D,E01001425
D,E01001426
C,E01001427
D,E01001428
D,E01001429
D,E01001430
D,E01001431
D,E01001432
D,E01001433
D,E01001434
D,E01001435
D,E01001436
D,E01001437
D,E01001438
D,E01001439
D,E01001440
D,E01001441
D,E01001442
D,E01001444
B,E01001445
D,E01001446
D,E01001447
D,E01001448
D,E01001449
D,E01001450
E,E01001451
E,E01001452
D,E01001453
E,E01001454
E,E01001455
E,E01001456
C,E01001457
D,E01001458
D,E01001459
D,E01001460
D,E01001461
D,E01001462
D,E01001463
D,E01001464
D,E01001465
D,E01001466
D,E01001467
D,E01001468
D,E01001469
E,E01001470
D,E01001471
D,E01001472
D,E01001473
D,E01001474
D,E01001475
D,E01001476
D,E01001477
D,E01001478
D,E01001479
D,E01001480
D,E01001481
D,E01001482
D,E01001483
D,E01001484
D,E01001485
D,E01001486
D,E01001487
D,E01001488
D,E01001489
D,E01001491
D,E01001492
D,E01001493
D,E01001494
D,E01001495
D,E01001496
D,E01001497
D,E01001498
D,E01001499
D,E01001500
D,E01001501
D,E01001502
D,E01001503
D,E01001504
D,E01001505
D,E01001506
D,E01001507
D,E01001508
D,E01001509
C,E01001510
D,E01001511
D,E01001512
D,E01001513
D,E01001514
D,E01001515
D,E01001516
C,E01001517
D,E01001518
D,E01001519
D,E01001520
E,E01001521
C,E01001522
D,E01001523
E,E01001524
D,E01001525
D,E01001526
E,E01001527
D,E01001528
D,E01001529
D,E01001530
E,E01001531
E,E01001532
E,E01001533
D,E01001534
E,E01001535
D,E01001536
D,E01001537
E,E01001538
D,E01001539
D,E01001540
D,E01001541
D,E01001542
E,E01001543
E,E01001544
D,E01001545
D,E01001546
D,E01001547
D,E01001548
D,E01001549
D,E01001550
D,E01001551
E,E01001552
D,E01001553
C,E01001554
D,E01001555
D,E01001556
D,E01001557
D,E01001558
D,E01001559
D,E01001560
D,E01001562
D,E01001563
D,E01001564
D,E01001565
E,E01001566
E,E01001567
E,E01001568
D,E01001569
D,E01001570
D,E01001571
D,E01001572
D,E01001573
D,E01001574
D,E01001575
D,E01001576
D,E01001577
D,E01001578
D,E01001579
D,E01001580
D,E01001581
D,E01001582
D,E01001583
D,E01001584
D,E01001585
D,E01001586
D,E01001587
D,E01001588
D,E01001589
D,E01001590
C,E01001591
D,E01001592
D,E01001593
C,E01001594
D,E01001595
E,E01001596
E,E01001597
D,E01001598
D,E01001599
E,E01001600
E,E01001601
D,E01001602
C,E01001603
D,E01001604
E,E01001605
D,E01001606
D,E01001607
E,E01001608
E,E01001609
D,E01001610
D,E01001611
D,E01001613
E,E01001614
D,E01001615
D,E01001617
D,E01001618
D,E01001619
D,E01001620
D,E01001621
D,E01001623
D,E01001624
D,E01001625
C,E01001629
C,E01001631
D,E01001632
C,E01001633
C,E01001634
D,E01001635
D,E01001636
D,E01001637
C,E01001638
C,E01001640
D,E01001641
D,E01001642
D,E01001644
D,E01001645
C,E01001646
D,E01001647
D,E01001648
D,E01001649
D,E01001650
D,E01001651
D,E01001652
C,E01001653
D,E01001654
C,E01001655
D,E01001656
D,E01001657
D,E01001658
E,E01001659
D,E01001660
D,E01001661
B,E01001662
D,E01001664
D,E01001665
D,E01001666
D,E01001667
B,E01001668
D,E01001669
D,E01001671
D,E01001672
D,E01001673
D,E01001674
D,E01001675
D,E01001676
D,E01001677
D,E01001678
D,E01001679
E,E01001680
D,E01001681
D,E01001682
D,E01001683
D,E01001684
D,E01001685
D,E01001686
C,E01001687
C,E01001688
C,E01001690
C,E01001692
C,E01001693
C,E01001694
C,E01001695
C,E01001696
D,E01001697
D,E01001698
D,E01001699
D,E01001700
C,E01001701
D,E01001702
C,E01001703
D,E01001704
C,E01001705
C,E01001706
D,E01001708
D,E01001709
C,E01001710
C,E01001711
C,E01001712
C,E01001713
C,E01001714
D,E01001715
C,E01001716
C,E01001717
D,E01001718
C,E01001719
D,E01001720
D,E01001722
D,E01001723
D,E01001724
D,E01001725
D,E01001726
D,E01001727
D,E01001728
D,E01001729
C,E01001730
D,E01001731
C,E01001732
D,E01001733
D,E01001734
C,E01001735
D,E01001736
D,E01001737
D,E01001738
D,E01001739
D,E01001740
D,E01001741
D,E01001742
D,E01001744
D,E01001745
C,E01001746
D,E01001747
D,E01001748
D,E01001749
D,E01001750
D,E01001751
C,E01001752
C,E01001753
C,E01001754
D,E01001755
D,E01001756
D,E01001757
D,E01001758
D,E01001759
D,E01001760
C,E01001761
D,E01001762
D,E01001763
D,E01001764
C,E01001765
D,E01001767
D,E01001768
D,E01001769
D,E01001770
B,E01001772
C,E01001773
D,E01001774
D,E01001775
D,E01001776
D,E01001777
B,E01001779
C,E01001780
D,E01001781
D,E01001782
D,E01001783
D,E01001784
D,E01001785
C,E01001786
C,E01001787
C,E01001788
D,E01001789
C,E01001790
D,E01001791
D,E01001792
D,E01001793
D,E01001794
D,E01001795
D,E01001796
D,E01001798
D,E01001799
D,E01001800
D,E01001801
D,E01001802
D,E01001803
D,E01001804
D,E01001805
D,E01001806
D,E01001807
D,E01001808
D,E01001809
D,E01001811
D,E01001812
D,E01001813
D,E01001814
D,E01001815
D,E01001816
D,E01001819
D,E01001820
D,E01001821
D,E01001822
C,E01001823
D,E01001824
D,E01001825
D,E01001826
D,E01001827
D,E01001828
D,E01001829
D,E01001830
D,E01001831
D,E01001832
D,E01001833
D,E01001834
D,E01001835
D,E01001836
D,E01001837
D,E01001838
D,E01001839
D,E01001840
D,E01001841
D,E01001842
C,E01001843
D,E01001844
D,E01001845
C,E01001846
D,E01001847
D,E01001848
C,E01001849
D,E01001850
D,E01001851
D,E01001852
D,E01001853
D,E01001854
D,E01001855
D,E01001856
C,E01001857
D,E01001858
D,E01001859
D,E01001860
D,E01001861
D,E01001862
D,E01001863
D,E01001864
D,E01001865
D,E01001866
D,E01001867
D,E01001868
C,E01001869
D,E01001870
D,E01001871
D,E01001872
D,E01001873
D,E01001874
D,E01001875
B,E01001876
D,E01001877
D,E01001878
D,E01001879
C,E01001880
D,E01001881
D,E01001882
D,E01001883
D,E01001884
C,E01001885
D,E01001886
D,E01001887
D,E01001888
D,E01001889
D,E01001890
D,E01001891
D,E01001892
D,E01001893
D,E01001894
